IMAGE_VERSION,IMAGE_REF_NAME,render,php,apache,postgresql,mysql,libphp,moodle
"4.1.13","4.1.13-debian-12-r2","render-template-1.0.7-4-linux-amd64-debian-12","php-8.1.29-11-linux-amd64-debian-12","apache-2.4.62-3-linux-amd64-debian-12","postgresql-client-13.16.0-0-linux-amd64-debian-12","mysql-client-11.4.3-0-linux-amd64-debian-12","libphp-8.1.29-5-linux-amd64-debian-12","moodle-4.1.13-0-linux-amd64-debian-12"

"4.1.13","4.1.13-debian-12-r1","render-template-1.0.7-3-linux-amd64-debian-12","php-8.1.29-10-linux-amd64-debian-12","apache-2.4.62-3-linux-amd64-debian-12","postgresql-client-13.16.0-0-linux-amd64-debian-12","mysql-client-11.4.3-0-linux-amd64-debian-12","libphp-8.1.29-5-linux-amd64-debian-12","moodle-4.1.13-0-linux-amd64-debian-12"

"4.1.13","4.1.13-debian-12-r0","render-template-1.0.7-3-linux-amd64-debian-12","php-8.1.29-9-linux-amd64-debian-12","apache-2.4.62-2-linux-amd64-debian-12","postgresql-client-13.16.0-0-linux-amd64-debian-12","mysql-client-11.4.3-0-linux-amd64-debian-12","libphp-8.1.29-5-linux-amd64-debian-12","moodle-4.1.13-0-linux-amd64-debian-12"

"4.1.12","4.1.12-debian-12-r1","render-template-1.0.7-3-linux-amd64-debian-12","php-8.1.29-9-linux-amd64-debian-12","apache-2.4.62-0-linux-amd64-debian-12","postgresql-client-13.16.0-0-linux-amd64-debian-12","mysql-client-11.4.3-0-linux-amd64-debian-12","libphp-8.1.29-4-linux-amd64-debian-12","moodle-4.1.12-0-linux-amd64-debian-12"

"4.1.12","4.1.12-debian-12-r0","render-template-1.0.7-3-linux-amd64-debian-12","php-8.1.29-6-linux-amd64-debian-12","apache-2.4.62-0-linux-amd64-debian-12","postgresql-client-13.16.0-0-linux-amd64-debian-12","mysql-client-11.4.2-1-linux-amd64-debian-12","libphp-8.1.29-4-linux-amd64-debian-12","moodle-4.1.12-0-linux-amd64-debian-12"

"4.1.11","4.1.11-debian-12-r8","render-template-1.0.7-3-linux-amd64-debian-12","php-8.1.29-6-linux-amd64-debian-12","apache-2.4.62-0-linux-amd64-debian-12","postgresql-client-13.16.0-0-linux-amd64-debian-12","mysql-client-11.4.2-1-linux-amd64-debian-12","libphp-8.1.29-4-linux-amd64-debian-12","moodle-4.1.11-0-linux-amd64-debian-12"

